chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
6,J 6:38,D,θε λημα,θελημα,substitution_morphological,νου ουχ ινα ποιω το θε λημα το εμον αλλα το θελημα,ουρανου ουχ ϊνα ποιησω το θελημα το εμον αλλα το θελημα
6,J 6:38,D,πεμψαν τος,πεμψαντος,substitution_morphological,εμον αλλα το θελημα του πεμψαν τος με,εμον αλλα το θελημα του πεμψαντος με πατρος
6,J 6:38,D,[ADD],πατρος,addition,θελημα του πεμψαν τος με,το θελημα του πεμψαντος με πατρος
6,J 6:39,P66,τουτο,του το,substitution_morphological,τουτο δε εστιν το θελημα του,του το δε εστιν το θελημα του
6,J 6:39,P66,πεμψα¯ τος,πεμ ψαντος,substitution_morphological,δε εστιν το θελημα του πεμψα¯ τος με ϊνα παν ο δεδω,δε εστιν το θελημα του πεμ ψαντος με ϊνα παν ο δεδωκεν
6,J 6:39,P66,δεδω κεν,δεδωκεν,substitution_morphological,τος με ϊνα παν ο δεδω κεν μοι μη απολεσω ε ξ,ψαντος με ϊνα παν ο δεδωκεν μοι μη απολεσω εξ αυτου
6,J 6:39,P66,ε ξ,εξ,substitution_morphological,δεδω κεν μοι μη απολεσω ε ξ αυτου αλλα αναστη σω αυτο,ο δεδωκεν μοι μη απολεσω εξ αυτου αλ'λα αναστησω αυτο τη
6,J 6:39,P66,αλλα αναστη σω,αλ'λα αναστησω,substitution_morphological,μη απολεσω ε ξ αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,μοι μη απολεσω εξ αυτου αλ'λα αναστησω αυτο τη εσχατη ημε ρα
6,J 6:39,P66,ημερα,ημε ρα,substitution_morphological,αναστη σω αυτο τη εσχατη ημερα,αλ'λα αναστησω αυτο τη εσχατη ημε ρα
6,J 6:39,aleph,πεμψα¯ τος,πεμψαντος,substitution_morphological,δε εστιν το θελημα του πεμψα¯ τος με ϊνα παν ο δεδω,δε εστι το θελημα του πεμψαντος με πατρος ϊνα παν ο
6,J 6:39,aleph,[ADD],πατρος,addition,θελημα του πεμψα¯ τος με ϊνα παν ο δεδω κεν,το θελημα του πεμψαντος με πατρος ϊνα παν ο δε δωκεν
6,J 6:39,aleph,δεδω κεν,δε δωκεν,substitution_morphological,τος με ϊνα παν ο δεδω κεν μοι μη απολεσω ε ξ,με πατρος ϊνα παν ο δε δωκεν μοι μη α πολεσω εξ
6,J 6:39,aleph,απολεσω ε ξ,α πολεσω εξ,substitution_morphological,ο δεδω κεν μοι μη απολεσω ε ξ αυτου αλλα αναστη σω αυτο,ο δε δωκεν μοι μη α πολεσω εξ αυτου αλλα αναστησω αυτο εν
6,J 6:39,aleph,αναστη σω,αναστησω,substitution_morphological,απολεσω ε ξ αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,α πολεσω εξ αυτου αλλα αναστησω αυτο εν τη εσχα τη
6,J 6:39,aleph,[ADD],εν,addition,αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,εξ αυτου αλλα αναστησω αυτο εν τη εσχα τη ημερα
6,J 6:39,aleph,εσχατη,εσχα τη,substitution_morphological,αλλα αναστη σω αυτο τη εσχατη ημερα,αλλα αναστησω αυτο εν τη εσχα τη ημερα
6,J 6:39,A,πεμψα¯ τος,πεμψαντος,substitution_morphological,δε εστιν το θελημα του πεμψα¯ τος με ϊνα παν ο δεδω,δε εστιν το θελημα του πεμψαντος με ινα παν ο δε
6,J 6:39,A,δεδω κεν,δε δωκεν,substitution_morphological,τος με ϊνα παν ο δεδω κεν μοι μη απολεσω ε ξ,πεμψαντος με ινα παν ο δε δωκεν μοι μη απολεσω εξ αυ
6,J 6:39,A,ε ξ αυτου,εξ αυ του,substitution_morphological,δεδω κεν μοι μη απολεσω ε ξ αυτου αλλα αναστη σω αυτο τη,δε δωκεν μοι μη απολεσω εξ αυ του αλλα αναστησω αυτο εν τη
6,J 6:39,A,αναστη σω,αναστησω,substitution_morphological,απολεσω ε ξ αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,απολεσω εξ αυ του αλλα αναστησω αυτο εν τη εσχατη ημερα
6,J 6:39,A,[ADD],εν,addition,αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,αυ του αλλα αναστησω αυτο εν τη εσχατη ημερα
6,J 6:39,D,πεμψα¯ τος,πεμψαντος,substitution_morphological,δε εστιν το θελημα του πεμψα¯ τος με ϊνα παν ο δεδω,δε εστιν το θελημα του πεμψαντος με ϊνα παν ο δεδωκεν
6,J 6:39,D,δεδω κεν,δεδωκεν,substitution_morphological,τος με ϊνα παν ο δεδω κεν μοι μη απολεσω ε ξ,πεμψαντος με ϊνα παν ο δεδωκεν μοι μη απολεσω μηδεν αλλ
6,J 6:39,D,ε ξ αυτου αλλα αναστη σω,μηδεν αλλ ϊνα αναστησω,substitution_morphological,δεδω κεν μοι μη απολεσω ε ξ αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,ο δεδωκεν μοι μη απολεσω μηδεν αλλ ϊνα αναστησω αυτο εν τη εσχατη ημερα
6,J 6:39,D,[ADD],εν,addition,αυτου αλλα αναστη σω αυτο τη εσχατη ημερα,μηδεν αλλ ϊνα αναστησω αυτο εν τη εσχατη ημερα
6,J 6:40,P66,εστι¯,εστιν,substitution_morphological,τουτο γαρ εστι¯ το θελημα του πατρος μου,τουτο γαρ εστιν το θελημα του πρς μου
6,J 6:40,P66,πατρος,πρς,substitution_morphological,γαρ εστι¯ το θελημα του πατρος μου ϊνα πας ο θεωρων,γαρ εστιν το θελημα του πρς μου ϊνα πας ο θεωρω¯
6,J 6:40,P66,θεωρων,θεωρω¯,substitution_morphological,πατρος μου ϊνα πας ο θεωρων τον ϋιον και πιστευω¯ εις,πρς μου ϊνα πας ο θεωρω¯ τον υν και πιστεων πιστευων
6,J 6:40,P66,ϋιον,υν,substitution_lexical,ϊνα πας ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη,ϊνα πας ο θεωρω¯ τον υν και πιστεων πιστευων εις αυτον
6,J 6:40,P66,πιστευω¯,πιστεων πιστευων,substitution_morphological,ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη ζωην αιωνιον,ο θεωρω¯ τον υν και πιστεων πιστευων εις αυτον εχη εχει ζωην
6,J 6:40,P66,[ADD],εχει,addition,και πιστευω¯ εις αυτον εχη ζωην αιωνιον και αναστη σω,πιστεων πιστευων εις αυτον εχη εχει ζωην αιωνιον και αναστησω αυ
6,J 6:40,P66,αναστη σω αυτον εγω,αναστησω αυ τον εν,substitution_morphological,αυτον εχη ζωην αιωνιον και αναστη σω αυτον εγω τη εσχα τη ημερα,εχη εχει ζωην αιωνιον και αναστησω αυ τον εν τη εσχατη ημερα
6,J 6:40,P66,εσχα τη,εσχατη,substitution_morphological,αναστη σω αυτον εγω τη εσχα τη ημερα,αναστησω αυ τον εν τη εσχατη ημερα
6,J 6:40,aleph,εστι¯,εστιν,substitution_morphological,τουτο γαρ εστι¯ το θελημα του πατρος μου,τουτο γαρ εστιν το θελη μα του πατρος
6,J 6:40,aleph,θελημα,θελη μα,substitution_morphological,τουτο γαρ εστι¯ το θελημα του πατρος μου ϊνα πας,τουτο γαρ εστιν το θελη μα του πατρος μου ϊνα πας
6,J 6:40,aleph,θεωρων,θεωρω¯,substitution_morphological,πατρος μου ϊνα πας ο θεωρων τον ϋιον και πιστευω¯ εις,πατρος μου ϊνα πας ο θεωρω¯ τον υν και πιστευ ων
6,J 6:40,aleph,ϋιον,υν,substitution_lexical,ϊνα πας ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη,ϊνα πας ο θεωρω¯ τον υν και πιστευ ων εις αυτον
6,J 6:40,aleph,πιστευω¯,πιστευ ων,substitution_morphological,ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη ζωην αιωνιον,ο θεωρω¯ τον υν και πιστευ ων εις αυτον εχη ζωην αιωνιον
6,J 6:40,aleph,αναστη σω αυτον,αναστησω αυ τον,substitution_morphological,αυτον εχη ζωην αιωνιον και αναστη σω αυτον εγω τη εσχα τη ημερα,αυτον εχη ζωην αιωνιον και αναστησω αυ τον εγω εν τη εσχα τη
6,J 6:40,aleph,[ADD],εν,addition,και αναστη σω αυτον εγω τη εσχα τη ημερα,και αναστησω αυ τον εγω εν τη εσχα τη ημερα
6,J 6:40,A,εστι¯,εστιν,substitution_morphological,τουτο γαρ εστι¯ το θελημα του πατρος μου,τουτο γαρ εστιν το θελημα του πεμψα¯ τος
6,J 6:40,A,πατρος μου ϊνα,πεμψα¯ τος με ινα,substitution_morphological,γαρ εστι¯ το θελημα του πατρος μου ϊνα πας ο θεωρων τον ϋιον,γαρ εστιν το θελημα του πεμψα¯ τος με ινα πας ο θεωρων το¯ ϋϊον
6,J 6:40,A,τον ϋιον,το¯ ϋϊον,substitution_morphological,μου ϊνα πας ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη,με ινα πας ο θεωρων το¯ ϋϊον και πιστευων εις αυτο¯ εχη
6,J 6:40,A,πιστευω¯,πιστευων,substitution_morphological,ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη ζωην αιωνιον,ο θεωρων το¯ ϋϊον και πιστευων εις αυτο¯ εχη ζωην αιωνιον
6,J 6:40,A,αυτον,αυτο¯,substitution_morphological,τον ϋιον και πιστευω¯ εις αυτον εχη ζωην αιωνιον και αναστη,το¯ ϋϊον και πιστευων εις αυτο¯ εχη ζωην αιωνιον και ανα
6,J 6:40,A,αναστη σω,ανα στησω,substitution_morphological,αυτον εχη ζωην αιωνιον και αναστη σω αυτον εγω τη εσχα τη,αυτο¯ εχη ζωην αιωνιον και ανα στησω αυτον εν τη εσχατη ημερα
6,J 6:40,A,εγω,εν,substitution_lexical,αιωνιον και αναστη σω αυτον εγω τη εσχα τη ημερα,αιωνιον και ανα στησω αυτον εν τη εσχατη ημερα
6,J 6:40,A,εσχα τη,εσχατη,substitution_morphological,αναστη σω αυτον εγω τη εσχα τη ημερα,ανα στησω αυτον εν τη εσχατη ημερα
6,J 6:40,D,εστι¯,εστιν,substitution_morphological,τουτο γαρ εστι¯ το θελημα του πατρος μου,τουτο γαρ εστιν το θελημα του πατρος μου
6,J 6:40,D,πιστευω¯,πιστευων,substitution_morphological,ο θεωρων τον ϋιον και πιστευω¯ εις αυτον εχη ζωην αιωνιον,ο θεωρων τον ϋϊον και πιστευων εις αυτον εχη ζωην αιωνιον
6,J 6:40,D,αναστη σω,αναστησω,substitution_morphological,αυτον εχη ζωην αιωνιον και αναστη σω αυτον εγω τη εσχα τη,αυτον εχη ζωην αιωνιον και αναστησω αυτον εν τη εσχατη ημερα
6,J 6:40,D,εγω,εν,substitution_lexical,αιωνιον και αναστη σω αυτον εγω τη εσχα τη ημερα,ζωην αιωνιον και αναστησω αυτον εν τη εσχατη ημερα
6,J 6:40,D,εσχα τη,εσχατη,substitution_morphological,αναστη σω αυτον εγω τη εσχα τη ημερα,και αναστησω αυτον εν τη εσχατη ημερα
