chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
11,J 11:32,aleph,[ADD],ο,addition,ριαμ ως ηλθεν οπου ην ις ϊδουσα αυτον ε πεσεν,μαρια ως ηλθεν οπου ην ο ις ϊδουσα αυτον επεσεν αυτου
11,J 11:32,A,προς,εις,substitution_lexical,ϊδουσα αυτον ε πεσεν αυτου προς τους ποδας λεγουσα αυτω κε,ις ιδουσα αυτον επεσεν αυτου εις τους ποδας λεγουσα αυτω κε
11,J 11:32,D,[ADD],αυτου,addition,πεσεν αυτου προς τους ποδας λεγουσα αυτω κε ει ης,ϊδουσα επεσεν προς τους ποδας αυτου λεγουσα κε ει ωδε ης
11,J 11:32,D,αυτω,[OMIT],omission,αυτου προς τους ποδας λεγουσα αυτω κε ει ης ωδε ουκ,προς τους ποδας αυτου λεγουσα κε ει ωδε ης ουκ
11,J 11:34,D,[ADD],και,addition,τεθεικατε αυτον λε γουσιν αυτω κε ερχου και ϊδε,τεθεικατε αυτον λεγουσιν λενουσιν αυτω και κε ερχου και ειδε
11,J 11:35,aleph,[ADD],και,addition,εδακρυσεν ο ις,και εδακρυσεν ο ις
11,J 11:35,D,[ADD],και,addition,εδακρυσεν ο ις,και εδακρυσεν ο ιης
11,J 11:37,D,[ADD],ων,addition,τινες δε εξ αυτων ει πον ουκ εδυνατο,τινες δε ειπον εξ ων αυτων ουκ εδυνατο ουτος ο
11,J 11:38,D,εις,επι,substitution_lexical,†λιν ενβρειμωμενος εν εαυτω ερχεται εις το μνημειον ην δε σπη,παλιν ενβρειμωμενος εν εαυτω ερχεται επι το μνημειον ην δε σπηλεον
11,J 11:39,A,ο,[OMIT],omission,λεγει ο ις αρατε τον λιθον λεγει,λεγει ις αρατε τον λιθον λεγει
11,J 11:40,P66,ο,[OMIT],omission,λεγει αυτη ο ις ουκ ειπον σοι οτι,λεγι λεγει αυτη ις ουκ ειπον σοι εαν
11,J 11:40,P66,οτι,[OMIT],omission,ο ις ουκ ειπον σοι οτι εαν πιστευσης ο ψη την,αυτη ις ουκ ειπον σοι εαν πιστευ σης οψη την
