chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
17,J 17:11,D,ω,ϊνα ωσιν καθως ημεις και οτε ημην μετ αυτων εν τω κοσμω εγω ετηρουν αυτους εν τω ονοματι σου ο ους,substitution_lexical,αυτους εν τω ονοματι σου ω δεδωκας μοι ινα ωσιν εν,αυτους εν τω ονοματι σου ϊνα ωσιν καθως ημεις και οτε ημην μετ αυτων εν τω κοσμω εγω ετηρουν αυτους εν τω ονοματι σου ο ους δεδωκας μοι ϊνα ωσιν εν
17,J 17:11,D,[ADD],εν,addition,ω δεδωκας μοι ινα ωσιν εν καθως ημεις,ους δεδωκας μοι ϊνα ωσιν εν εν καθως ημεις
17,J 17:12,P66,αυτων εν τω κο σμω εγω,αυτω¯ ω,substitution_lexical,Οτε ημην μετ αυτων εν τω κο σμω εγω ετηρουν αυτους εν τω ονοματι,οτε ημην μετ αυτω¯ ω ετηρουν αυτους εν τω ονο
17,J 17:12,P66,ονοματι,ονο ματι μου,substitution_morphological,εγω ετηρουν αυτους εν τω ονοματι σου ους δεδωκας μοι εφυλαξα,ω ετηρουν αυτους εν τω ονο ματι μου σου ω δεδωκας μοι και
17,J 17:12,P66,ους,ω,substitution_lexical,αυτους εν τω ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις,τω ονο ματι μου σου ω δεδωκας μοι και εφυλαξα και
17,J 17:12,P66,[ADD],και,addition,ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις εξ αυτω¯,μου σου ω δεδωκας μοι και εφυλαξα και ουδεις εξ αυτων
17,J 17:12,P66,αυτω¯,αυτων,substitution_morphological,μοι εφυλαξα και ουδεις εξ αυτω¯ απωλετο ει μη ο υιος,και εφυλαξα και ουδεις εξ αυτων απωλετο ει μη ο υιος
17,J 17:12,P66,απω λειας ινα η γραφη πληρωθη,απωλειας,substitution_lexical,ει μη ο υιος της απω λειας ινα η γραφη πληρωθη,ει μη ο υιος της απωλειας
17,J 17:12,aleph,εν τω κο σμω,[OMIT],omission,Οτε ημην μετ αυτων εν τω κο σμω εγω ετηρουν αυτους εν τω,οτε ημην μετ αυτων εγω ε τηρουν αυτους εν
17,J 17:12,aleph,ετηρουν,ε τηρουν,substitution_morphological,εν τω κο σμω εγω ετηρουν αυτους εν τω ονοματι σου,οτε ημην μετ αυτων εγω ε τηρουν αυτους εν τω ονοματι κ
17,J 17:12,aleph,[ADD],κ,addition,ετηρουν αυτους εν τω ονοματι σου ους δεδωκας μοι εφυλαξα,τηρουν αυτους εν τω ονοματι κ σου ο δεδωκας μοι και
17,J 17:12,aleph,ους,ο,substitution_lexical,αυτους εν τω ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις,εν τω ονοματι κ σου ο δεδωκας μοι και εφυλασσον εφυλαξα
17,J 17:12,aleph,[ADD],και εφυλασσον,addition,ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις εξ αυτω¯,κ σου ο δεδωκας μοι και εφυλασσον εφυλαξα και ουδις εξ αυτω¯
17,J 17:12,aleph,υιος,υς,substitution_morphological,αυτω¯ απωλετο ει μη ο υιος της απω λειας ινα η,αυτω¯ απωλετο ει μη ο υς της απωλιας ϊνα η γραφη
17,J 17:12,aleph,απω λειας ινα,απωλιας ϊνα,substitution_morphological,ει μη ο υιος της απω λειας ινα η γραφη πληρωθη,ει μη ο υς της απωλιας ϊνα η γραφη πληρωθη
17,J 17:12,B,Οτε ημην,ο τε ημεν,substitution_morphological,Οτε ημην μετ αυτων εν τω κο,ο τε ημεν μετ αυτων ε γω ετηρουν
17,J 17:12,B,εν τω κο σμω εγω,ε γω,substitution_lexical,Οτε ημην μετ αυτων εν τω κο σμω εγω ετηρουν αυτους εν τω ονοματι,ο τε ημεν μετ αυτων ε γω ετηρουν αυτους εν τω ονοματι
17,J 17:12,B,ους,ω,substitution_lexical,αυτους εν τω ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις,αυτους εν τω ονοματι σου ω δεδωκας μοι και εφυ λαξα
17,J 17:12,B,εφυλαξα,και εφυ λαξα,substitution_morphological,ονοματι σου ους δεδωκας μοι εφυλαξα και ουδεις εξ αυτω¯ απωλετο,ονοματι σου ω δεδωκας μοι και εφυ λαξα και ουδεις εξ αυτω¯ απωλετο
17,J 17:12,B,απω λειας ινα,απωλειας ϊνα,substitution_morphological,ει μη ο υιος της απω λειας ινα η γραφη πληρωθη,ει μη ο ϋιος της απωλειας ϊνα η γρα φη πληρωθη
17,J 17:12,B,γραφη,γρα φη,substitution_morphological,της απω λειας ινα η γραφη πληρωθη,ϋιος της απωλειας ϊνα η γρα φη πληρωθη
17,J 17:12,D,εν τω κο σμω,[OMIT],omission,Οτε ημην μετ αυτων εν τω κο σμω εγω ετηρουν αυτους εν τω,οτε ημην μετ αυτων εγω ετηρουν αυτους εν τω
17,J 17:12,D,αυτω¯,αυτων,substitution_morphological,μοι εφυλαξα και ουδεις εξ αυτω¯ απωλετο ει μη ο υιος,μοι εφυλαξα και ουδεις εξ αυτων απωλετο ει μη ο ϋιος
17,J 17:12,D,απω λειας ινα,απωλειας ϊνα,substitution_morphological,ει μη ο υιος της απω λειας ινα η γραφη πληρωθη,ει μη ο ϋιος της απωλειας ϊνα η γραφη πληρωθη
17,J 17:13,P66,Νυν δε προς,[OMIT],omission,Νυν δε προς σε ερχομαι και ταυ τα,σε ερχομαι και ταυτα λαλω
17,J 17:13,P66,ταυ τα,ταυτα,substitution_morphological,δε προς σε ερχομαι και ταυ τα λαλω εν τω κοσμω ινα,σε ερχομαι και ταυτα λαλω εν τω κοσμω ινα
17,J 17:13,P66,εχω σιν,εχωσιν,substitution_morphological,λαλω εν τω κοσμω ινα εχω σιν την χαραν την εμην πε,λαλω εν τω κοσμω ινα εχωσιν την χαραν την εμην πεπληρωμενην
17,J 17:13,P66,πε πληρωμενην εν εαυτοις,πεπληρωμενην ε ν αυτοις',substitution_morphological,σιν την χαραν την εμην πε πληρωμενην εν εαυτοις,εχωσιν την χαραν την εμην πεπληρωμενην ε ν αυτοις'
17,J 17:13,aleph,ερχομαι,ερ χομαι,substitution_morphological,Νυν δε προς σε ερχομαι και ταυ τα λαλω εν,νυν δε προς σε ερ χομαι και ταυτα λα λω εν
17,J 17:13,aleph,ταυ τα λαλω,ταυτα λα λω,substitution_morphological,δε προς σε ερχομαι και ταυ τα λαλω εν τω κοσμω ινα εχω,προς σε ερ χομαι και ταυτα λα λω εν τω κοσμω ϊνα εχωσι
17,J 17:13,aleph,ινα εχω σιν,ϊνα εχωσι,substitution_morphological,τα λαλω εν τω κοσμω ινα εχω σιν την χαραν την εμην πε,λα λω εν τω κοσμω ϊνα εχωσι την χαραν την εμην πεπληρωκενην
17,J 17:13,aleph,πε πληρωμενην,πεπληρωκενην πεπληρωμενην,substitution_morphological,σιν την χαραν την εμην πε πληρωμενην εν εαυτοις,εχωσι την χαραν την εμην πεπληρωκενην πεπληρωμενην εν αυτοις εαυτοις
17,J 17:13,aleph,[ADD],αυτοις,addition,την εμην πε πληρωμενην εν εαυτοις,την εμην πεπληρωκενην πεπληρωμενην εν αυτοις εαυτοις
17,J 17:13,B,ταυ τα,ταυτα,substitution_morphological,δε προς σε ερχομαι και ταυ τα λαλω εν τω κοσμω ινα,δε προς σε ερχομαι και ταυτα λαλω εν τω κοσμω ϊνα
17,J 17:13,B,ινα εχω σιν,ϊνα εχωσι,substitution_morphological,τα λαλω εν τω κοσμω ινα εχω σιν την χαραν την εμην πε,ταυτα λαλω εν τω κοσμω ϊνα εχωσι την χαραν την εμην πεπληρωμενη¯
17,J 17:13,B,πε πληρωμενην,πεπληρωμενη¯,substitution_morphological,σιν την χαραν την εμην πε πληρωμενην εν εαυτοις,εχωσι την χαραν την εμην πεπληρωμενη¯ εν εαυτοις
17,J 17:13,D,ταυ τα,ταυτα,substitution_morphological,δε προς σε ερχομαι και ταυ τα λαλω εν τω κοσμω ινα,δε προς σε ερχομαι και ταυτα λαλω εν τουτω τω κοσμω
17,J 17:13,D,[ADD],τουτω,addition,και ταυ τα λαλω εν τω κοσμω ινα εχω σιν,ερχομαι και ταυτα λαλω εν τουτω τω κοσμω ϊνα εχωσιν την
17,J 17:13,D,ινα εχω σιν,ϊνα εχωσιν,substitution_morphological,τα λαλω εν τω κοσμω ινα εχω σιν την χαραν την εμην πε,λαλω εν τουτω τω κοσμω ϊνα εχωσιν την χαραν την εμην πεπληρωμενην
17,J 17:13,D,πε πληρωμενην,πεπληρωμενην,substitution_morphological,σιν την χαραν την εμην πε πληρωμενην εν εαυτοις,εχωσιν την χαραν την εμην πεπληρωμενην εν αυτοις
17,J 17:13,D,εαυτοις,αυτοις,substitution_morphological,την εμην πε πληρωμενην εν εαυτοις,χαραν την εμην πεπληρωμενην εν αυτοις
17,J 17:14,P66,λογο¯,λογον,substitution_morphological,εγω δεδωκα αυτοις τον λογο¯ σου και ο κοσμος εμεισησεν,εγω δεδωκα αυτοις τον λογον σου και ο κοσμος εμισησεν
17,J 17:14,P66,κοσμου,κοσ μου,substitution_morphological,οτι ουκ εισιν εκ του κοσμου καθως εγω ουκ ειμι εκ,οτι ουκ εισιν εκ του κοσ μου καθως εγω εκ του
17,J 17:14,P66,ουκ ειμι,[OMIT],omission,εκ του κοσμου καθως εγω ουκ ειμι εκ του κοσμου,του κοσ μου καθως εγω εκ του
17,J 17:14,P66,κοσμου,[OMIT],omission,εγω ουκ ειμι εκ του κοσμου,μου καθως εγω εκ του
17,J 17:14,aleph,δεδωκα,δε δωκα,substitution_morphological,εγω δεδωκα αυτοις τον λογο¯ σου και,εγω δε δωκα αυτοις τον λο γον σου
17,J 17:14,aleph,λογο¯,λο γον,substitution_morphological,εγω δεδωκα αυτοις τον λογο¯ σου και ο κοσμος εμεισησεν,εγω δε δωκα αυτοις τον λο γον σου και ο κο σμος
